BARRAS;PRODUCTO;COSTO
7790520004376;RAID 45 NOCHES REPUESTO ;18.542
7790520004383;RAID 45 NOCHES APARATO + REPUES;20.864
7790520004406;FUYI  45 N. APARATO;21.493
7790520004413;FUYI  45 N. REPUESTO;19.094
7790520004437;GLADE x 360 AERO PARAISO AZUL;5.305
7790520004437;GLADE TOQUE REP PARAISO AZUL;5.918
7790520004482;GLADE ESENCIAS FLORAL;14.906
7790520004499;GLADE ESENCIAS PRIMAVERA;14.906
7790520004505;GLADE ESENCIAS BRISA DEL MAR;14.906
7790520004567;GLADE SENSATIONS BA•O FULL HARMO;19.741
7790520004574;GLADE SENSATIONS BA•O FULL LAVAN;19.741
7790520004741;FUYI TABLETAS 4x20x16;7.759
7790520004758;FUYI TABLETAS 4X20X28;13.365
7790520005168;MR MUSCULO CREMA x 450 FLORAL P;6.181
7790520005588;GLADE X 360 AERO NARANJA Y ESP;6.189
7790520005595;GLADE X 360 AERO CALIDEZ HOGAR;6.189
7790520005618;GLADE TOQUE REP NARANJA Y ESP;6.214
7790520005625;GLADE TOQUE REP CALIDEZ HOGAR;6.214
7790520005632;GLADE ACEITE REP NARANJA Y ESPE;20.949
7790520005649;GLADE ACEITE REP CALIDEZ HOGAR;20.949
7790520007711;RAID MMM DOBLE ACCION x 400ML;12.613
7790520007810;FUYI MMM AEROSOL x 400;6.059
7790520010520;RAID EXTERMINADOR  AERO x 400;9.950
7790520011732;RAID ANTIPOL. CONTINUO PERCHA x 2 Uni;15.179
7790520011770;RAID ANTIPOLILLA x 400;15.085
7790520018021;BLEM CERA  P/MAD.  x 900 UNIVERSAL;19.910
7790520018038;BLEM CERA  P/MAD.  x 900 R CLARO;19.910
7790520018045;BLEM CERA  P/MAD.  x 900 R OSCURO;19.910
7790520030047;RAID MATAPULGAS AERO x 400;31.116
7790520145208;RAID TAB AP MAZDA S/CABLE;12.365
7790520146205;FUYI  APAR C/ CABLE ;31.031
7790520150509;MM GEL LIMPIADOR C/ LAVAND.x 500;8.754
7790520155047;MM MULTIUSO D PACK x 500;2.859
7790520155246;MM ANTIG  COCINA D PACK x 500 ;3.061
7790520155450;RAID TAB LARGA DUR  X 24;10.626
7790520155702;RAID TAB LARGA DUR  X 12;5.360
7790520161055;OFF AEROSOL x 165;13.772
7790520161451;FUYI TABLETAS 4X20X12;0.000
7790520161918;FUYI TABLETAS 10 x 120;56.244
7790520200303;KLARO  AEROSOL x 400;8.275
7790520200716;KLARO  GATILLO x 500;13.158
7790520200723;KLARO  REPUESTO x 500;6.171
7790520221001;ECHO  x 2L TRADICIONAL;20.036
7790520222701;ECHO  x 5L TRADICIONAL;47.618
7790520270733;GLO COT CERA P/MADERA NATURAL;15.675
7790520508485;RAID MMM x 400CM3;9.559
7790520508607;RAID MMM SIN OLOR;12.865
7790520550507;MM MULTIUSO REPUESTO x 500;6.547
7790520552006;MM ANTIG. COCINA GATILLO x 500;8.648
7790520552501;MM ANTIG. COCINA  REPUESTO x 500;5.690
7790520552808;MM CANASTA LIQ. AP. MARINA x 55CC;11.852
7790520552815;MM CANASTA LIQ. REP. MARINA x 55CC;10.132
7790520552839;MM CANASTA LIQ. REP. PINO x 55CC;10.132
7790520552877;GLADE CAN.LIQ. FULL LAVANDA ;12.641
7790520552891;GLADE CAN.LIQ. REP. LAVANDA;10.839
7790520802170;ZIPLOC C/CIERRE DENT GDE 27x28x5U;5.974
7790520803405;ZIPLOC FILM REPUESTO x 10 MTS.;7.774
7790520972200;GLADE TOQUE FULL LAVANDA;9.266
7790520972255;GLADE TOQUE REP. LAVANDA;5.918
7790520981882;LYSOFORM CAN LIQ P/ INOD RPTO.;11.057
7790520981936;BLEM  x 400 AERO MARRON;10.500
7790520981967;MM LIMPIAHORNOS AERO x 400ML;12.742
7790520981974;BRISHINE x  400 AEROSOL;8.315
7790520982001;BLEM  x 2L INCOLORO;35.533
7790520982056;BLEM  x 5L BIDON INCOLORO;76.894
7790520982100;RAID MAX AEROSOL x 400;15.172
7790520982261;GLADE TOQUE REP. BEBE;5.918
7790520982278;KLARO REPUESTO DOY PACK x 500;2.286
7790520984357;BLEM  x 400 AERO NARANJA;10.500
7790520984371;MM ANTIG NARANJA REPUESTO x 500;6.321
7790520984401;ZIPLOC S/CIERRE E-GDE. 35X57CM X10U;5.974
7790520984418;ZIPLOC S/CIERRE GDE. 25X35CM X20U;5.974
7790520984524;MM ANTIG NARANJA D PACK x 500;3.458
7790520984579;BAYGON CEBOS CUCARA x 4;7.464
7790520984616;MM ANTIG. COCINA D PACK x 900;5.821
7790520984623;MM MULTIUSO D PACK x 900;8.106
7790520984630;KLARO REPUESTO DOY PACK x 900;5.703
