 BARRAS;PRODUCTO;COSTO
7790520004376;RAID 45 NOCHES REPUESTO ;31.518
7790520004383;RAID 45 NOCHES APARATO + REPUES;35.472
7790520004406;FUYI  45 N. APARATO;36.536
7790520004413;FUYI  45 N. REPUESTO;32.463
7790520004437;GLADE x 360 AERO PARAISO AZUL;9.168
7790520004437;GLADE TOQUE REP PARAISO AZUL;10.809
7790520004482;GLADE ESENCIAS FLORAL;22.367
7790520004499;GLADE ESENCIAS PRIMAVERA;22.367
7790520004505;GLADE ESENCIAS BRISA DEL MAR;22.367
7790520004567;GLADE SENSATIONS BAÑO FULL HARMO;31.363
7790520004574;GLADE SENSATIONS BAÑO FULL LAVAN;#VALUE!
7790520004741;FUYI TABLETAS 4x20x16;11.975
7790520004758;FUYI TABLETAS 4X20X28;20.625
7790520005168;MR MUSCULO CREMA x 450 FLORAL P;9.832
7790520005298;MM GLADE LIMP LIQ x 900 PARAI AZUL;8.462
7790520005311;MM GLADE LIMP LIQ x 1800 PARAI AZU;15.381
7790520005588;GLADE X 360 AERO NARANJA Y ESP;0.000
7790520005595;GLADE X 360 AERO CALIDEZ HOGAR;0.000
7790520005618;GLADE TOQUE REP NARANJA Y ESP;10.809
7790520005625;GLADE TOQUE REP CALIDEZ HOGAR;10.809
7790520005632;GLADE ACEITE REP NARANJA Y ESPE;0.000
7790520005649;GLADE ACEITE REP CALIDEZ HOGAR;0.000
7790520005939;M MUS ADHESIVO 30 gr MAÑ CAMPO;6.971
7790520006059;RAID 45 NOCHES ADVANCE FULL "NUEVO";57.794
7790520006370;MR MUSCULO CREMA x 450 Desinfect;13.110
7790520007711;RAID MMM DOBLE ACCION x 400ML;19.828
7790520007810;FUYI MMM AEROSOL x 400;13.532
7790520008435;MM GLADE LIMP LIQ x 900 BOS ENCANT;8.462
7790520008435;MM GLADE LIMP LIQ x 900 T MORAS;8.462
7790520009050;BLEM PISOS PLASTIFICADOS DP FLORAL;11.456
7790520009623;LYSOFORM x 390 AERO FLORAL;16.627
7790520010520;RAID EXTERMINADOR  AERO x 400;15.773
7790520011732;RAID ANTIPOL. CONTINUO PERCHA x 2 Uni;24.497
7790520011770;RAID ANTIPOLILLA x 400;23.476
