 BARRAS;PRODUCTO;COSTO;
7790520004222;GLADE AUTO REP PARAISO AZUL;29.806;
7790520004239;GLADE ACEITE REP PARAISO AZUL;31.741;
7790520004307;BLEM  x 235 AERO ELECTRONICX;17.528;
7790520004376;RAID 45 NOCHES REPUESTO ;31.203;
7790520004383;RAID 45 NOCHES APARATO + REPUES;35.117;
7790520004406;FUYI  45 N. APARATO;36.171;
7790520004413;FUYI  45 N. REPUESTO;32.138;
7790520004437;GLADE x 360 AERO PARAISO AZUL;9.076;
7790520004437;GLADE TOQUE REP PARAISO AZUL;10.701;
7790520004482;GLADE ESENCIAS FLORAL;22.143;
7790520004499;GLADE ESENCIAS PRIMAVERA;22.143;
7790520004505;GLADE ESENCIAS BRISA DEL MAR;22.143;
7790520004567;GLADE SENSATIONS BAÑO FULL HARMO;31.049;
7790520004574;GLADE SENSATIONS BAÑO FULL LAVAN;#VALUE!;
7790520004741;FUYI TABLETAS 4x20x16;11.855;
7790520004758;FUYI TABLETAS 4X20X28;20.419;
7790520005168;MR MUSCULO CREMA x 450 FLORAL P;9.734;
7790520005298;MM GLADE LIMP LIQ x 900 PARAI AZUL;8.378;
7790520005311;MM GLADE LIMP LIQ x 1800 PARAI AZU;15.228;
7790520005588;GLADE X 360 AERO NARANJA Y ESP;0.000;
7790520005595;GLADE X 360 AERO CALIDEZ HOGAR;0.000;
7790520005618;GLADE TOQUE REP NARANJA Y ESP;10.701;
7790520005625;GLADE TOQUE REP CALIDEZ HOGAR;10.701;
7790520005632;GLADE ACEITE REP NARANJA Y ESPE;0.000;
7790520005649;GLADE ACEITE REP CALIDEZ HOGAR;0.000;
7790520005939;M MUS ADHESIVO 30 gr MAÑ CAMPO;6.902;
7790520006059;RAID 45 NOCHES ADVANCE FULL "NUEVO";57.216;
7790520006370;MR MUSCULO CREMA x 450 Desinfect;12.979;
7790520007711;RAID MMM DOBLE ACCION x 400ML;19.630;
7790520007810;FUYI MMM AEROSOL x 400;13.396;
7790520008435;MM GLADE LIMP LIQ x 900 BOS ENCANT;8.378;
7790520008435;MM GLADE LIMP LIQ x 900 T MORAS;8.378;
7790520009050;BLEM PISOS PLASTIFICADOS DP FLORAL;11.341;
7790520009623;LYSOFORM x 390 AERO FLORAL;16.461;
7790520010520;RAID EXTERMINADOR  AERO x 400;15.615;
7790520011732;RAID ANTIPOL. CONTINUO PERCHA x 2 Uni;24.252;
7790520011770;RAID ANTIPOLILLA x 400;23.241;
7790520018021;BLEM CERA  P/MAD.  x 900 UNIVERSAL;31.713;
7790520018038;BLEM CERA  P/MAD.  x 900 R CLARO;31.713;
7790520018045;BLEM CERA  P/MAD.  x 900 R OSCURO;31.713;
7790520030047;RAID MATAPULGAS AERO x 400;47.941;
7790520145208;RAID TAB AP MAZDA S/CABLE;19.052;
7790520146205;FUYI  APAR C/ CABLE ;47.812;
7790520150509;MM GEL LIMPIADOR C/ LAVAND.x 500;14.805;
7790520155047;MM MULTIUSO D PACK x 500;6.486;
7790520155246;MM ANTIG  COCINA D PACK x 500 ;3.771;
7790520155450;RAID TAB LARGA DUR  X 24;16.236;
7790520155702;RAID TAB LARGA DUR  X 12;8.189;
7790520161055;OFF AEROSOL x 165;23.047;
7790520161918;FUYI TABLETAS 10 x 120;86.657;
7790520200303;KLARO  AEROSOL x 400;16.290;
7790520200716;KLARO  GATILLO x 500;24.380;
7790520200723;KLARO  REPUESTO x 500;11.435;
7790520221001;ECHO  x 2L TRADICIONAL;42.717;
7790520222701;ECHO  x 5L TRADICIONAL;71.321;
7790520270733;GLO COT CERA P/MADERA NATURAL;23.049;
7790520508485;RAID MMM x 400CM3;16.905;
7790520508607;RAID MMM SIN OLOR;20.023;
